Name	known	gene_id	n_ss	rank	rt_gene	annot_transcript_id_x	transcript_novelty	gene_novelty	n_genes	gene_ids	n_genes_no_rt	gene_ids_no_rt	annot_transcript_id_y	n_total_ss	filt_df	gid	needs to be fixed
TALONT000516336	TRUE	ENSG00000267673	8	1	FALSE	TALONT000516336	ISM	Known	3	"ENSG00000267673,ENSG00000167807,ENSG00000267303"	1	ENSG00000267673	TALONT000516336	8	100	ENSG00000167807	
TALONT000516344	TRUE	ENSG00000267673	8	2	FALSE	TALONT000516344	ISM	Known	3	"ENSG00000167807,ENSG00000267673,ENSG00000267303"	1	ENSG00000267673	TALONT000516344	8	100	ENSG00000167807	
TALONT000431429	TRUE	ENSG00000277726	8	2	FALSE	TALONT000431429	ISM	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000431429	8	100	ENSG00000120948	
TALONT002235976	TRUE	ENSG00000267368	8	1	FALSE	TALONT002235976	NIC	Known	3	"ENSG00000267368,ENSG00000205236,ENSG00000267645"	1	ENSG00000267368	TALONT002235976	8	100	ENSG00000267645	
TALONT000775053	TRUE	ENSG00000198182	8	1	FALSE	TALONT000775053	ISM	Known	2	"ENSG00000198182,ENSG00000267552"	1	ENSG00000198182	TALONT000775053	8	100	ENSG00000267552	
TALONT000471602	TRUE	ENSG00000213920	8	1	FALSE	TALONT000471602	ISM	Known	3	"ENSG00000260669,ENSG00000213920,ENSG00000255526"	1	ENSG00000213920	TALONT000471602	8	100	ENSG00000260669	
TALONT000668133	TRUE	ENSG00000197978	8	1	FALSE	TALONT000668133	ISM	Known	2	"ENSG00000197978,ENSG00000278202"	1	ENSG00000197978	TALONT000668133	8	100	ENSG00000259429	
TALONT000689999	TRUE	ENSG00000121716	8	1	FALSE	TALONT000689999	ISM	Known	2	"ENSG00000121716,ENSG00000272752"	1	ENSG00000121716	TALONT000689999	8	100	ENSG00000272752	
TALONT001118671	TRUE	ENSG00000285441	8	2	FALSE	TALONT001118671	NNC	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001118671	10	80	ENSG00000112096	
TALONT000643557	TRUE	ENSG00000100288	8	1	FALSE	TALONT000643557	NIC	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643557	8	100	ENSG00000254413	
TALONT001004254	TRUE	ENSG00000198093	8	2	FALSE	TALONT001004254	ISM	Known	2	"ENSG00000161551,ENSG00000198093"	1	ENSG00000198093	TALONT001004254	18	44.44444444	ENSG00000161551	
TALONT001004192	TRUE	ENSG00000198093	8	2	FALSE	TALONT001004192	NIC	Known	2	"ENSG00000161551,ENSG00000198093"	1	ENSG00000198093	TALONT001004192	20	40	ENSG00000161551	
TALONT000989199	TRUE	ENSG00000215837	8	1	FALSE	TALONT000989199	ISM	Known	2	"ENSG00000215837,ENSG00000242086"	1	ENSG00000215837	TALONT000989199	8	100	ENSG00000242086	
TALONT000397394	TRUE	ENSG00000256594	7	1	FALSE	TALONT000397394	NIC	Known	3	"ENSG00000256594,ENSG00000284634,ENSG00000272917"	1	ENSG00000256594	TALONT000397394	8	87.5	ENSG00000272917	
TALONT000756882	TRUE	ENSG00000126246	7	2	FALSE	TALONT000756882	ISM	Known	2	"ENSG00000267120,ENSG00000126246"	1	ENSG00000126246	TALONT000756882	8	87.5	ENSG00000267120	
TALONT000244006	TRUE	ENSG00000285035	7	4	FALSE	TALONT000244006	NIC	Known	4	"ENSG00000284906,ENSG00000285077,ENSG00000285035,ENSG00000187951"	1	ENSG00000285035	TALONT000244006	26	26.92307692	ENSG00000187951	
TALONT001118783	TRUE	ENSG00000285441	7	2	FALSE	TALONT001118783	NIC	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001118783	8	87.5	ENSG00000112096	
TALONT001202150	TRUE	ENSG00000285035	7	4	FALSE	TALONT001202150	ISM	Known	4	"ENSG00000284906,ENSG00000285077,ENSG00000285035,ENSG00000187951"	1	ENSG00000285035	TALONT001202150	28	25	ENSG00000187951	
TALONT000732916	TRUE	ENSG00000135441	6	1	FALSE	TALONT000732916	NIC	Known	2	"ENSG00000135441,ENSG00000258311"	1	ENSG00000135441	TALONT000732916	8	75	ENSG00000258311	
TALONT003471763	TRUE	ENSG00000183542	6	2	FALSE	TALONT003471763	NNC	Known	2	"ENSG00000255819,ENSG00000183542"	1	ENSG00000183542	TALONT003471763	10	60	ENSG00000255819	
TALONT000691564	TRUE	ENSG00000091009	6	2	FALSE	TALONT000691564	ISM	Known	2	"ENSG00000275740,ENSG00000091009"	1	ENSG00000091009	TALONT000691564	6	100	ENSG00000275740	
TALONT001107701	TRUE	ENSG00000149300	6	2	FALSE	TALONT001107701	NNC	Known	2	"ENSG00000254445,ENSG00000149300"	1	ENSG00000149300	TALONT001107701	8	75	ENSG00000254445	
TALONT000792848	TRUE	ENSG00000164008	6	1	FALSE	TALONT000792848	NIC	Known	2	"ENSG00000164008,ENSG00000283580"	1	ENSG00000164008	TALONT000792848	6	100	ENSG00000283580	
TALONT001118744	TRUE	ENSG00000285441	6	1	FALSE	TALONT001118744	ISM	Known	2	"ENSG00000285441,ENSG00000112096"	1	ENSG00000285441	TALONT001118744	6	100	ENSG00000112096	
TALONT001118835	TRUE	ENSG00000285441	6	2	FALSE	TALONT001118835	NIC	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001118835	8	75	ENSG00000112096	
TALONT001118871	TRUE	ENSG00000285441	6	2	FALSE	TALONT001118871	NNC	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001118871	8	75	ENSG00000112096	
TALONT000874657	TRUE	ENSG00000136450	6	1	FALSE	TALONT000874657	NIC	Known	2	"ENSG00000136450,ENSG00000266086"	1	ENSG00000136450	TALONT000874657	6	100	ENSG00000266086	
TALONT000926314	TRUE	ENSG00000214176	6	1	FALSE	TALONT000926314	ISM	Known	2	"ENSG00000214176,ENSG00000215769"	1	ENSG00000214176	TALONT000926314	10	60	ENSG00000215769	
TALONT000909203	TRUE	ENSG00000167985	6	1	FALSE	TALONT000909203	NIC	Known	2	"ENSG00000167985,ENSG00000256591"	1	ENSG00000167985	TALONT000909203	8	75	ENSG00000256591	
TALONT000242447	TRUE	ENSG00000242715	6	1	FALSE	TALONT000242447	ISM	Known	2	"ENSG00000242715,ENSG00000250709"	1	ENSG00000242715	TALONT000242447	6	100	ENSG00000250709	
TALONT000433356	TRUE	ENSG00000277726	6	2	FALSE	TALONT000433356	ISM	Known	2	"ENSG00000277726,ENSG00000120948"	1	ENSG00000277726	TALONT000433356	6	100	ENSG00000120948	
TALONT000397359	TRUE	ENSG00000256594	6	2	FALSE	TALONT000397359	NNC	Known	3	"ENSG00000284634,ENSG00000256594,ENSG00000272917"	1	ENSG00000256594	TALONT000397359	8	75	ENSG00000272917	
TALONT000341061	TRUE	ENSG00000237517	6	2	FALSE	TALONT000341061	ISM	Known	2	"ENSG00000273032,ENSG00000237517"	1	ENSG00000237517	TALONT000341061	6	100	ENSG00000273032	
TALONT000909041	TRUE	ENSG00000167985	5	2	FALSE	TALONT000909041	NIC	Known	2	"ENSG00000256591,ENSG00000167985"	1	ENSG00000167985	TALONT000909041	8	62.5	ENSG00000256591	
TALONT000908976	TRUE	ENSG00000167985	5	2	FALSE	TALONT000908976	NNC	Known	2	"ENSG00000256591,ENSG00000167985"	1	ENSG00000167985	TALONT000908976	6	83.33333333	ENSG00000256591	
TALONT001531840	TRUE	ENSG00000148832	5	1	FALSE	TALONT001531840	ISM	Known	2	"ENSG00000148832,ENSG00000254536"	1	ENSG00000148832	TALONT001531840	6	83.33333333	ENSG00000148824	
TALONT000747980	TRUE	ENSG00000205220	5	2	FALSE	TALONT000747980	ISM	Known	2	"ENSG00000261884,ENSG00000205220"	1	ENSG00000205220	TALONT000747980	6	83.33333333	ENSG00000261884	
TALONT001119318	TRUE	ENSG00000285441	5	2	FALSE	TALONT001119318	ISM	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001119318	6	83.33333333	ENSG00000112096	
TALONT000410987	TRUE	ENSG00000263155	5	2	FALSE	TALONT000410987	ISM	Known	2	"ENSG00000137878,ENSG00000263155"	1	ENSG00000263155	TALONT000410987	6	83.33333333	ENSG00000137878	
TALONT000397377	TRUE	ENSG00000256594	5	1	FALSE	TALONT000397377	NIC	Known	3	"ENSG00000284634,ENSG00000272917,ENSG00000256594"	1	ENSG00000256594	TALONT000397377	6	83.33333333	ENSG00000272917	
TALONT000341096	TRUE	ENSG00000237517	5	2	FALSE	TALONT000341096	NIC	Known	2	"ENSG00000273032,ENSG00000237517"	1	ENSG00000237517	TALONT000341096	8	62.5	ENSG00000273032	
TALONT000385143	TRUE	ENSG00000099977	5	2	FALSE	TALONT000385143	NIC	Known	2	"ENSG00000285762,ENSG00000099977"	1	ENSG00000099977	TALONT000385143	6	83.33333333	ENSG00000285762	
TALONT000504522	TRUE	ENSG00000125962	5	2	FALSE	TALONT000504522	ISM	Known	2	"ENSG00000271147,ENSG00000125962"	1	ENSG00000125962	TALONT000504522	6	83.33333333	ENSG00000271147	
TALONT000756915	TRUE	ENSG00000126246	5	2	FALSE	TALONT000756915	NIC	Known	2	"ENSG00000267120,ENSG00000126246"	1	ENSG00000126246	TALONT000756915	6	83.33333333	ENSG00000267120	
TALONT000756927	TRUE	ENSG00000126246	5	2	FALSE	TALONT000756927	NIC	Known	2	"ENSG00000126246,ENSG00000267120"	1	ENSG00000126246	TALONT000756927	6	83.33333333	ENSG00000267120	
TALONT000513944	TRUE	ENSG00000134970	5	1	FALSE	TALONT000513944	ISM	Known	2	"ENSG00000134970,ENSG00000251201"	1	ENSG00000134970	TALONT000513944	6	83.33333333	ENSG00000251201	
TALONT001118729	TRUE	ENSG00000285441	4	2	FALSE	TALONT001118729	ISM	Known	2	"ENSG00000285441,ENSG00000112096"	1	ENSG00000285441	TALONT001118729	4	100	ENSG00000112096	
TALONT000873770	TRUE	ENSG00000264112	4	1	FALSE	TALONT000873770	ISM	Known	2	"ENSG00000264112,ENSG00000266086"	1	ENSG00000264112	TALONT000873770	4	100	ENSG00000266086	
TALONT000920002	TRUE	ENSG00000273340	4	1	FALSE	TALONT000920002	ISM	Known	2	"ENSG00000273340,ENSG00000214922"	1	ENSG00000273340	TALONT000920002	4	100	ENSG00000214922	
TALONT000889717	TRUE	ENSG00000120913	4	2	FALSE	TALONT000889717	ISM	Known	2	"ENSG00000248235,ENSG00000120913"	1	ENSG00000120913	TALONT000889717	4	100	ENSG00000248235	
TALONT000960368	TRUE	ENSG00000225950	4	2	FALSE	TALONT000960368	ISM	Known	2	"ENSG00000283663,ENSG00000225950"	1	ENSG00000225950	TALONT000960368	4	100	ENSG00000283663	
TALONT000690022	TRUE	ENSG00000121716	4	1	FALSE	TALONT000690022	ISM	Known	2	"ENSG00000272752,ENSG00000121716"	1	ENSG00000121716	TALONT000690022	4	100	ENSG00000272752	
TALONT000377473	TRUE	ENSG00000251079	4	2	FALSE	TALONT000377473	ISM	Known	2	"ENSG00000254929,ENSG00000251079"	1	ENSG00000251079	TALONT000377473	6	66.66666667	ENSG00000254929	
TALONT000654487	TRUE	ENSG00000243554	4	1	FALSE	TALONT000654487	NIC	Known	3	"ENSG00000243554,ENSG00000285725,ENSG00000284707"	1	ENSG00000243554	TALONT000654487	6	66.66666667	ENSG00000285725	
TALONT000467175	TRUE	ENSG00000213928	4	1	FALSE	TALONT000467175	ISM	Known	2	"ENSG00000259529,ENSG00000213928"	1	ENSG00000213928	TALONT000467175	4	100	ENSG00000259529	
TALONT000516339	TRUE	ENSG00000267673	4	1	FALSE	TALONT000516339	ISM	Known	2	"ENSG00000167807,ENSG00000267673"	1	ENSG00000267673	TALONT000516339	4	100	ENSG00000167807	
TALONT000516690	TRUE	ENSG00000161847	4	1	FALSE	TALONT000516690	ISM	Known	2	"ENSG00000267303,ENSG00000161847"	1	ENSG00000161847	TALONT000516690	4	100	ENSG00000267303	
TALONT000504930	TRUE	ENSG00000125962	4	2	FALSE	TALONT000504930	ISM	Known	2	"ENSG00000271147,ENSG00000125962"	1	ENSG00000125962	TALONT000504930	8	50	ENSG00000271147	
TALONT000433367	TRUE	ENSG00000277726	4	2	FALSE	TALONT000433367	ISM	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000433367	4	100	ENSG00000120948	
TALONT000788517	TRUE	ENSG00000231721	3	1	FALSE	TALONT000788517	ISM	Known	2	"ENSG00000231721,ENSG00000285106"	1	ENSG00000231721	TALONT000788517	4	75	ENSG00000226380	
TALONT000411570	TRUE	ENSG00000212127	3	3	FALSE	TALONT000411570	NIC	Known	3	"ENSG00000212127,ENSG00000231887,ENSG00000275778"	1	ENSG00000212127	TALONT000411570	4	75	ENSG00000275778	
TALONT000981293	TRUE	ENSG00000214736	3	2	FALSE	TALONT000981293	ISM	Known	2	"ENSG00000124593,ENSG00000214736"	1	ENSG00000214736	TALONT000981293	4	75	ENSG00000124593	
TALONT000554524	TRUE	ENSG00000250462	3	2	FALSE	TALONT000554524	ISM	Known	2	"ENSG00000214719,ENSG00000250462"	1	ENSG00000250462	TALONT000554524	4	75	ENSG00000214719	
TALONT000654527	TRUE	ENSG00000243554	3	1	FALSE	TALONT000654527	NIC	Known	3	"ENSG00000243554,ENSG00000285725,ENSG00000284707"	1	ENSG00000243554	TALONT000654527	4	75	ENSG00000285725	
TALONT001741404	TRUE	ENSG00000197128	3	2	FALSE	TALONT001741404	NIC	Known	2	"ENSG00000268163,ENSG00000197128"	1	ENSG00000197128	TALONT001741404	4	75	ENSG00000268163	
TALONT000554527	TRUE	ENSG00000250462	3	2	FALSE	TALONT000554527	ISM	Known	2	"ENSG00000214719,ENSG00000250462"	1	ENSG00000250462	TALONT000554527	4	75	ENSG00000214719	
TALONT000579329	TRUE	ENSG00000183336	3	1	FALSE	TALONT000579329	ISM	Known	2	"ENSG00000183336,ENSG00000261740"	1	ENSG00000183336	TALONT000579329	4	75	ENSG00000261740	
TALONT001118811	TRUE	ENSG00000285441	2	2	FALSE	TALONT001118811	ISM	Known	2	"ENSG00000285441,ENSG00000112096"	1	ENSG00000285441	TALONT001118811	2	100	ENSG00000112096	
TALONT001118733	TRUE	ENSG00000285441	2	1	FALSE	TALONT001118733	ISM	Known	2	"ENSG00000112096,ENSG00000285441"	1	ENSG00000285441	TALONT001118733	2	100	ENSG00000112096	
TALONT001116478	TRUE	ENSG00000243509	2	2	FALSE	TALONT001116478	ISM	Known	2	"ENSG00000026036,ENSG00000243509"	1	ENSG00000243509	TALONT001116478	2	100	ENSG00000026036	
TALONT001096012	TRUE	ENSG00000244274	2	2	FALSE	TALONT001096012	ISM	Known	2	"ENSG00000244274,ENSG00000254806"	1	ENSG00000244274	TALONT001096012	2	100	ENSG00000254806	
TALONT000748037	TRUE	ENSG00000205220	2	1	FALSE	TALONT000748037	ISM	Known	2	"ENSG00000261884,ENSG00000205220"	1	ENSG00000205220	TALONT000748037	2	100	ENSG00000261884	
TALONT000737111	TRUE	ENSG00000240382	2	1	FALSE	TALONT000737111	NNC	Known	2	"ENSG00000240382,ENSG00000240040"	1	ENSG00000240382	TALONT000737111	6	33.33333333	ENSG00000243466	
TALONT000736898	TRUE	ENSG00000243290	2	1	FALSE	TALONT000736898	NIC	Known	2	"ENSG00000243290,ENSG00000240040"	1	ENSG00000243290	TALONT000736898	6	33.33333333	ENSG00000243466	
TALONT000736047	TRUE	ENSG00000241351	2	1	FALSE	TALONT000736047	NNC	Known	2	"ENSG00000241351,ENSG00000240040"	1	ENSG00000241351	TALONT000736047	6	33.33333333	ENSG00000243466	
TALONT000736009	TRUE	ENSG00000239951	2	1	FALSE	TALONT000736009	NNC	Known	2	"ENSG00000239951,ENSG00000240040"	1	ENSG00000239951	TALONT000736009	6	33.33333333	ENSG00000243466	
TALONT000736005	TRUE	ENSG00000241755	2	1	FALSE	TALONT000736005	NNC	Known	2	"ENSG00000241755,ENSG00000240040"	1	ENSG00000241755	TALONT000736005	6	33.33333333	ENSG00000243466	
TALONT000736093	TRUE	ENSG00000243238	2	1	FALSE	TALONT000736093	NNC	Known	2	"ENSG00000243238,ENSG00000240040"	1	ENSG00000243238	TALONT000736093	6	33.33333333	ENSG00000242076	
TALONT000736108	TRUE	ENSG00000244116	2	1	FALSE	TALONT000736108	NNC	Known	2	"ENSG00000244116,ENSG00000240040"	1	ENSG00000244116	TALONT000736108	6	33.33333333	ENSG00000242076	
TALONT000736113	TRUE	ENSG00000244437	2	1	FALSE	TALONT000736113	NNC	Known	2	"ENSG00000244437,ENSG00000240040"	1	ENSG00000244437	TALONT000736113	6	33.33333333	ENSG00000243466	
TALONT000736419	TRUE	ENSG00000239855	2	1	FALSE	TALONT000736419	NNC	Known	2	"ENSG00000239855,ENSG00000240040"	1	ENSG00000239855	TALONT000736419	6	33.33333333	ENSG00000253435	
TALONT000690057	TRUE	ENSG00000121716	2	1	FALSE	TALONT000690057	ISM	Known	2	"ENSG00000272752,ENSG00000121716"	1	ENSG00000121716	TALONT000690057	2	100	ENSG00000272752	
TALONT000326914	TRUE	ENSG00000177576	2	1	FALSE	TALONT000326914	ISM	Known	2	"ENSG00000215472,ENSG00000177576"	1	ENSG00000177576	TALONT000326914	2	100	ENSG00000215472	
TALONT000579331	TRUE	ENSG00000183336	2	1	FALSE	TALONT000579331	ISM	Known	2	"ENSG00000183336,ENSG00000261740"	1	ENSG00000183336	TALONT000579331	2	100	ENSG00000261740	
TALONT000473107	TRUE	ENSG00000250251	2	2	FALSE	TALONT000473107	ISM	Known	2	"ENSG00000250251,ENSG00000270580"	1	ENSG00000250251	TALONT000473107	2	100	ENSG00000270580	
TALONT000369757	TRUE	ENSG00000211662	2	2	FALSE	TALONT000369757	NIC	Known	2	"ENSG00000211662,ENSG00000254709"	1	ENSG00000211662	TALONT000369757	6	33.33333333	ENSG00000254709	
TALONT000433378	TRUE	ENSG00000277726	2	1	FALSE	TALONT000433378	ISM	Known	2	"ENSG00000120948,ENSG00000277726"	1	ENSG00000277726	TALONT000433378	2	100	ENSG00000120948	
TALONT000560027	TRUE	ENSG00000145029	2	2	FALSE	TALONT000560027	ISM	Known	2	"ENSG00000145029,ENSG00000283189"	1	ENSG00000145029	TALONT000560027	4	50	ENSG00000283189	
TALONT000874304	TRUE	ENSG00000136450	2	1	FALSE	TALONT000874304	ISM	Known	2	"ENSG00000266086,ENSG00000136450"	1	ENSG00000136450	TALONT000874304	2	100	ENSG00000266086	
TALONT000904832	TRUE	ENSG00000213186	2	1	FALSE	TALONT000904832	ISM	Known	2	"ENSG00000213186,ENSG00000248710"	1	ENSG00000213186	TALONT000904832	2	100	ENSG00000248710	
TALONT000789753	TRUE	ENSG00000184115	1	2	FALSE	TALONT000789753	ISM	Known	3	"ENSG00000273471,ENSG00000184115,ENSG00000257207"	1	ENSG00000184115	TALONT000789753	2	50	ENSG00000273471	
TALONT000909066	TRUE	ENSG00000167985	1	1	FALSE	TALONT000909066	NIC	Known	2	"ENSG00000167985,ENSG00000256591"	1	ENSG00000167985	TALONT000909066	2	50	ENSG00000256591	
TALONT000788355	TRUE	ENSG00000231721	1	1	FALSE	TALONT000788355	ISM	Known	2	"ENSG00000231721,ENSG00000285106"	1	ENSG00000231721	TALONT000788355	2	50	ENSG00000226380	
TALONT000526060	TRUE	ENSG00000167524	1	2	FALSE	TALONT000526060	NIC	Known	2	"ENSG00000258472,ENSG00000167524"	1	ENSG00000167524	TALONT000526060	2	50	ENSG00000258472	
TALONT001048604	TRUE	ENSG00000135316	1	2	FALSE	TALONT001048604	ISM	Known	2	"ENSG00000271793,ENSG00000135316"	1	ENSG00000135316	TALONT001048604	2	50	ENSG00000271793	
TALONT000736525	TRUE	ENSG00000253435	1	1	FALSE	TALONT000736525	NIC	Known	2	"ENSG00000253435,ENSG00000240040"	1	ENSG00000253435	TALONT000736525	6	16.66666667	ENSG00000243466	
TALONT000654365	TRUE	ENSG00000243554	1	2	FALSE	TALONT000654365	NIC	Known	2	"ENSG00000284707,ENSG00000243554"	1	ENSG00000243554	TALONT000654365	8	12.5	ENSG00000284707	
TALONT000654354	TRUE	ENSG00000243554	1	2	FALSE	TALONT000654354	NIC	Known	2	"ENSG00000284707,ENSG00000243554"	1	ENSG00000243554	TALONT000654354	6	16.66666667	ENSG00000284707	
TALONT001178568	TRUE	ENSG00000237517	1	2	FALSE	TALONT001178568	NIC	Known	2	"ENSG00000273032,ENSG00000237517"	1	ENSG00000237517	TALONT001178568	4	25	ENSG00000273032	
TALONT001588187	TRUE	ENSG00000186148	1	3	FALSE	TALONT001588187	ISM	Known	3	"ENSG00000283684,ENSG00000284337,ENSG00000186148"	1	ENSG00000186148	TALONT001588187	2	50	ENSG00000283684	
